Engine_Size,Mileage,Doors,Owner_Count,Price
4.2,289944,3,5,8501
2.0,5356,2,3,12092
4.2,231440,4,2,11171
2.0,160971,2,1,11780
2.6,286618,3,3,2867
2.7,157889,4,4,7242
3.4,139584,3,1,11208
4.7,157495,2,2,7950
2.6,98700,3,4,9926
3.1,107724,2,5,6545
1.3,296824,2,3,5863
4.5,42795,4,3,11444
4.8,132875,3,4,10842
2.3,188996,2,1,4820
2.4,145921,5,2,5981
3.2,60103,2,1,9697
2.9,38133,5,2,14837
4.5,41161,2,2,11576
3.4,257427,3,3,2351
1.5,34640,2,1,11207
1.8,21261,2,1,13374
4.6,41814,2,2,8863
2.0,136662,5,4,6266
2.8,99921,4,2,7701
3.9,19868,3,4,12402
1.8,92188,2,4,8856
3.3,79350,5,3,14413
2.3,142701,5,3,10645
4.7,210767,3,3,12584
1.9,121816,4,4,9963
3.9,213643,4,5,9327
3.5,88381,3,1,10232
2.3,183619,5,1,9327
3.3,80184,3,5,11696
3.2,132454,4,4,9150
4.5,18590,2,5,9728
3.5,263411,4,1,7231
1.4,167050,5,4,4159
2.2,277363,2,4,6852
1.0,94415,2,1,4411
1.2,93645,3,3,6627
4.9,120491,2,1,8690
3.9,56020,2,4,7879
3.9,131868,5,3,9762
3.6,238306,5,2,11833
2.3,255372,5,5,6092
2.4,263797,2,5,3924
2.8,110280,3,3,8494
1.2,111448,5,1,9271
1.9,205005,2,2,5799
4.9,175273,3,5,6694
3.8,191466,3,2,10670
1.8,280713,3,1,4685
2.6,66777,5,1,11864
3.2,88070,3,5,13538
2.9,281020,3,5,6679
1.8,22175,2,2,10556
2.0,287728,3,3,3245
3.6,102907,3,3,11241
2.4,60316,2,5,8293
1.3,188097,2,2,5538
4.0,85348,3,3,9093
4.8,100603,4,2,14887
2.7,147310,5,2,6953
4.0,140263,4,5,8594
3.2,155550,5,4,7689
4.0,237232,4,5,4355
4.0,272351,3,3,4252
4.6,164879,2,4,7802
2.8,160349,4,3,9093
1.5,30793,5,1,7084
1.9,6745,2,1,15065
4.9,23217,2,4,11635
2.7,242456,2,5,9550
1.3,152123,5,5,9957
3.4,248894,5,2,10622
2.3,76458,3,5,8970
3.9,2020,3,2,14059
2.0,121567,4,4,11568
3.5,139477,2,5,11710
4.5,53088,3,2,11638
1.7,195565,2,5,9388
4.8,141850,3,2,8263
4.6,191397,3,4,10872
1.6,259533,2,4,7009
4.1,197249,3,1,10255
3.8,272609,4,5,6547
1.1,294516,4,1,3209
2.9,258813,4,5,2123
4.1,17100,5,5,13558
4.6,197307,3,1,9853
4.2,129851,3,4,9302
1.8,261247,3,4,3975
2.5,121855,5,5,10962
2.6,107928,4,2,7841
4.7,203960,5,3,9520
3.0,17260,5,5,11454
